model_key,split,rows,dimension,id_count_matches,all_finite,min_l2_norm,max_l2_norm,mean_l2_norm
resnet50,train,71967,2048,True,True,0.9999998211860657,1.0000001192092896,1.0
resnet50,valid,14657,2048,True,True,0.9999998211860657,1.0000001192092896,1.0
resnet50,test,70035,2048,True,True,0.9999998211860657,1.0000001192092896,1.0
dinov3_vitl16,train,71967,1024,True,True,0.9999998807907104,1.0000001192092896,1.0
dinov3_vitl16,valid,14657,1024,True,True,0.9999998807907104,1.0000001192092896,1.0
dinov3_vitl16,test,70035,1024,True,True,0.9999998807907104,1.0000001192092896,1.0
clip_vitl14_336,train,71967,768,True,True,0.9999998211860657,1.0000001192092896,1.0
clip_vitl14_336,valid,14657,768,True,True,0.9999998807907104,1.0000001192092896,1.0
clip_vitl14_336,test,70035,768,True,True,0.9999998211860657,1.0000001192092896,1.0
siglip2_b16_384,train,71967,768,True,True,0.9999998211860657,1.0000001192092896,1.0
siglip2_b16_384,valid,14657,768,True,True,0.9999998807907104,1.0000001192092896,1.0
siglip2_b16_384,test,70035,768,True,True,0.9999998211860657,1.0000001192092896,1.0
fashionclip2,train,71967,512,True,True,0.9999998211860657,1.0000001192092896,1.0
fashionclip2,valid,14657,512,True,True,0.9999998807907104,1.0000001192092896,1.0
fashionclip2,test,70035,512,True,True,0.9999998807907104,1.0000001192092896,1.0
marqo_fashionsiglip,train,71967,768,True,True,0.9993974566459656,1.000627875328064,1.0000007152557373
marqo_fashionsiglip,valid,14657,768,True,True,0.9994431734085083,1.0005810260772705,1.000004768371582
marqo_fashionsiglip,test,70035,768,True,True,0.999397337436676,1.0005897283554077,1.0000033378601074
gr_lite,train,71967,1024,True,True,0.9999998211860657,1.0000001192092896,1.0
gr_lite,valid,14657,1024,True,True,0.9999998807907104,1.0000001192092896,1.0
gr_lite,test,70035,1024,True,True,0.9999998211860657,1.0000001192092896,1.0
