run_id,dataset,split,representation,checkpoint,track,pca_dim,classifier,seed,train_fraction,cp_auc,fitb_acc,pr_auc,train_seconds,extract_ips,peak_vram_mb,notes
clean_pca512_fashionclip2_s20260912,polyvore_d_clean,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca512,512.0,logistic_regression,20260912,1.0,0.8655645740902383,0.6109496763967772,0.8639855068220634,1.165051499963738,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
clean_pca512_gr_lite_s20260912,polyvore_d_clean,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca512,512.0,logistic_regression,20260912,1.0,0.8215294978592217,0.5548144234579315,0.8277630558799536,0.790875300008338,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
clean_pca512_marqo_fashionsiglip_s20260912,polyvore_d_clean,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca512,512.0,logistic_regression,20260912,1.0,0.8872785610882588,0.6478668603883239,0.8868330707203508,0.9809825000120328,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
clean_pca512_resnet50_s20260912,polyvore_d_clean,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca512,512.0,logistic_regression,20260912,1.0,0.689701358116614,0.4038436137894597,0.6871075636823053,0.9042429000255652,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
clean_pca512_siglip2_b16_384_s20260912,polyvore_d_clean,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca512,512.0,logistic_regression,20260912,1.0,0.8866628100457918,0.6474706115440496,0.8871761867659259,1.0456677000038326,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
clean_primary_clip_vitl14_336_s20260912,polyvore_d_clean,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca256,256.0,logistic_regression,20260912,1.0,0.8883028123619103,0.6499801875577863,0.8864205642658753,0.4940929000149481,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
clean_primary_dinov3_vitl16_s20260912,polyvore_d_clean,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca256,256.0,logistic_regression,20260912,1.0,0.7822002866327329,0.5048210276053362,0.7808236637109816,0.5726113999844529,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
clean_primary_fashionclip2_s20260912,polyvore_d_clean,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca256,256.0,logistic_regression,20260912,1.0,0.8689566926513539,0.6174877823273015,0.8676319760886654,0.5273033999837935,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
clean_primary_gr_lite_s20260912,polyvore_d_clean,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca256,256.0,logistic_regression,20260912,1.0,0.8276769005625799,0.5573239994716682,0.833067367988371,0.3331466999952681,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
clean_primary_marqo_fashionsiglip_s20260912,polyvore_d_clean,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca256,256.0,logistic_regression,20260912,1.0,0.8896760907759992,0.6479329018623695,0.8877203261815729,0.43671609996818,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
