representation,batch_size,warmup_repeats,timing_repeats,inference_precision,active_image_parameters,repeated_elapsed_mean_seconds,repeated_elapsed_sd_seconds,repeated_images_per_second,repeated_latency_ms_per_image,repeated_peak_vram_mb,estimated_flops_per_image,estimated_gflops_per_image,flop_count_method,pca_fit_transform_seconds,end_to_end_outfit_scoring_ms,timed_outfit_items,checkpoint_parameters,native_embedding_dim,input_resolution,checkpoint_size_mb,full_extraction_images_per_second,full_extraction_latency_ms_per_image,full_extraction_seconds,full_extraction_peak_vram_mb,embedding_storage_mb,classifier_train_seconds,iqon_extraction_batch_size,iqon_extraction_seconds,iqon_images_per_second,iqon_peak_vram_mb,iqon_cache_mb,iqon_pca_seconds,iqon_classifier_seconds
resnet50,64,2,5,torch.float32,23508032,0.1264558000140823,0.0007334207452193,506.1056906276568,1.9758718752200368,763.66162109375,8174272512,8.174272512,PyTorch FlopCounterMode forward estimate,3.1327445000060834,0.1295450999750755,6,25557032,2048,224,97.78054523468018,535.7507293763953,1.8665396893887256,292.4102411999484,764.16162109375,1223.8988037109375,0.3910006000078283,32,408.71195140009513,1062.0903022604857,764.16162109375,3391.3206787109375,12.381219399976544,2.372768000001088
dinov3_vitl16,64,2,5,torch.bfloat16,303129600,0.2012783000012859,0.0141956917791589,317.9677093834313,3.1449734375200933,885.22412109375,125679796224,125.679796224,PyTorch FlopCounterMode forward estimate,1.7273979000165127,0.13066029996844,6,303129600,1024,224,1156.3871459960938,187.21535845597867,5.341442113762998,836.7849800999975,911.22412109375,611.9495849609375,0.6244093999848701,32,1578.6566178000649,274.97366755091065,911.22412109375,1695.6605224609375,7.335150500002783,3.2458212000201456
clip_vitl14_336,64,2,5,torch.float16,304293888,0.596042340004351,0.0023226515570767,107.37492239147444,9.313161562567984,2029.0966796875,381919789056,381.919789056,PyTorch FlopCounterMode forward estimate,1.941258699982427,0.1288089000154286,6,427616513,768,336,1632.665711402893,108.09638149985491,9.251003466765834,1449.2529521000688,2029.3134765625,458.9622802734375,0.4824177999980747,32,4777.638717600028,90.8584817016172,2029.3134765625,1271.7454833984375,6.183911899977829,2.543773599958513
siglip2_b16_384,64,2,5,torch.float16,93176064,0.3764479400007985,0.0032269818817445,170.01022770868195,5.881999062512477,1442.9287109375,112127311872,112.127311872,PyTorch FlopCounterMode forward estimate,2.0339286999660544,0.1983876000158488,6,375479810,768,384,1432.388557434082,172.6342947964257,5.7925917974711965,907.46163840004,1442.3955078125,458.9622802734375,0.4619499999680556,32,2612.241598499939,166.17490520374247,1096.3486328125,1271.7454833984375,6.361536300042644,2.6597308999625966
fashionclip2,64,2,5,torch.float16,87849216,0.1460667599807493,0.0006914561250799,438.1558131941504,2.2822931246992084,400.79248046875,8817623040,8.81762304,PyTorch FlopCounterMode forward estimate,1.3636362999677658,0.1269936000462621,6,151277439,512,224,577.1235370635986,427.1983526768747,2.340832996508257,366.7125563999871,398.60302734375,305.9749755859375,0.4865066999918781,32,717.7229086000007,604.814190544286,352.22802734375,847.8304443359375,5.133047999988776,2.5538082999992184
marqo_fashionsiglip,64,2,5,torch.float16,92884224,0.1220741999917663,0.0073602579421531,524.2713038817102,1.9074093748713492,651.1904296875,35416584192,35.416584192,PyTorch FlopCounterMode forward estimate,1.9359758000355212,0.1315029000397771,6,203155968,768,224,775.0114517211914,549.8110388018738,1.8188066979869304,284.9324384999345,651.5322265625,458.9622802734375,0.4722753000096418,32,655.9424129999825,661.7791309067426,531.4853515625,1271.7454833984375,6.742558199970517,2.393875100009609
gr_lite,64,2,5,torch.bfloat16,303129600,0.4369859600090421,0.0017509120190351,146.45779465929684,6.827905625141284,1686.69140625,289622851584,289.622851584,PyTorch FlopCounterMode forward estimate,2.022548699984327,0.1337514999904669,6,303129600,1024,336,1156.3871154785156,150.38689509548405,6.649515566932061,1041.7064592000097,1742.939453125,611.9495849609375,0.3453916000435129,32,2832.675960200024,153.2434369829395,1165.041015625,1695.6605224609375,7.608987400017213,1.7458608000306413
