dataset,system,training_seeds,cp_auc_mean,cp_auc_sd,cp_seed_ci_low,cp_seed_ci_high,cp_auc_min,cp_auc_max,pr_auc_mean,fitb_mean,fitb_sd,fitb_seed_ci_low,fitb_seed_ci_high,training_seconds_mean
polyvore_d_clean,image-only OutfitTransformer adaptation,5,0.8094805536688294,0.0019554355069245823,0.8070525597990719,0.811908547538587,0.806532677200981,0.8116712835219361,0.8139144393497327,0.4654603090740985,0.0051132054178525,0.45911142599133065,0.4718091921568664,388.80325457999714
iqon3000_clean,image-only OutfitTransformer adaptation,5,0.7723455045200313,0.0013068931578037464,0.7707227823364875,0.773968226703575,0.7709682370252342,0.7741884381503643,0.7729504431612602,0.43542741935483864,0.0012225790492797328,0.4339093869643898,0.4369454517452875,1897.1875011600089
