dataset,comparison,metric,effect,ci_low,ci_high,raw_p,test,discordant_first_only,discordant_second_only,holm_p,first,second,resampling_unit,training_source,task
iqon3000_clean,FashionCLIP minus CLIP,fitb_accuracy,-0.0089112903225806,-0.0159024617377308,-0.001955225644442,0.0179910044977511,,,,0.0359820089955022,fashionclip2,clip_vitl14_336,IQON user cluster,,
iqon3000_clean,Marqo-FashionSigLIP minus SigLIP2,cp_auc,0.0190356115049428,0.014446360393746,0.0234438153301425,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,siglip2_b16_384,IQON user cluster,,
iqon3000_clean,Marqo-FashionSigLIP minus SigLIP2,fitb_accuracy,0.0120564516129031,0.0050161133470506,0.0190048248243327,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,siglip2_b16_384,IQON user cluster,,
iqon3000_clean,validation-selected best specialized minus best generic,cp_auc,0.0178996927029136,0.0132198386865447,0.022616653803827,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,clip_vitl14_336,IQON user cluster,,
iqon3000_clean,validation-selected best specialized minus best generic,fitb_accuracy,0.0086693548387096,0.0014589838143704,0.015890181433364,0.0179910044977511,,,,0.0359820089955022,marqo_fashionsiglip,clip_vitl14_336,IQON user cluster,,
iqon3000_clean,validation-selected best overall minus ResNet50,cp_auc,0.1369089839685223,0.1307807066986135,0.1432306192129945,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,resnet50,IQON user cluster,,
iqon3000_clean,validation-selected best overall minus ResNet50,fitb_accuracy,0.1284677419354838,0.1204737176305826,0.1365837186281098,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,resnet50,IQON user cluster,,
,DINOv3 minus ResNet50,,0.02,-0.09,0.1399999999999999,0.7566216891554223,,,,1.0,dinov3_vitl16,resnet50,,polyvore_d_clean,LAT
,GR-Lite minus DINOv3,,0.15,0.02,0.2702499999999987,0.0309845077461269,,,,0.1239380309845077,gr_lite,dinov3_vitl16,,polyvore_d_clean,LAT
,FashionCLIP minus CLIP,,-0.02,-0.1302499999999999,0.0899999999999999,0.7736131934032984,,,,1.0,fashionclip2,clip_vitl14_336,,polyvore_d_clean,LAT
,Marqo-FashionSigLIP minus SigLIP2,,0.12,0.03,0.21,0.0089955022488755,,,,0.0449775112443778,marqo_fashionsiglip,siglip2_b16_384,,polyvore_d_clean,LAT
,validation-selected best specialized minus best generic,,0.02,-0.0899999999999999,0.1399999999999999,0.8065967016491754,,,,1.0,marqo_fashionsiglip,clip_vitl14_336,,polyvore_d_clean,LAT
,validation-selected best overall minus ResNet50,,0.2299999999999999,0.1099999999999999,0.34,0.0019990004997501,,,,0.0119940029985007,clip_vitl14_336,resnet50,,polyvore_d_clean,LAT
,DINOv3 minus ResNet50,,0.21,0.08,0.34,0.0029985007496251,,,,0.0149925037481259,dinov3_vitl16,resnet50,,polyvore_d_clean,AAT
,GR-Lite minus DINOv3,,0.0299999999999999,-0.09,0.15,0.6866566716641679,,,,1.0,gr_lite,dinov3_vitl16,,polyvore_d_clean,AAT
,FashionCLIP minus CLIP,,-0.05,-0.15,0.05,0.3968015992003998,,,,1.0,fashionclip2,clip_vitl14_336,,polyvore_d_clean,AAT
,Marqo-FashionSigLIP minus SigLIP2,,0.01,-0.0699999999999999,0.0899999999999999,0.9225387306346826,,,,1.0,marqo_fashionsiglip,siglip2_b16_384,,polyvore_d_clean,AAT
,validation-selected best specialized minus best generic,,-0.03,-0.14,0.08,0.6816591704147926,,,,1.0,marqo_fashionsiglip,clip_vitl14_336,,polyvore_d_clean,AAT
,validation-selected best overall minus ResNet50,,0.32,0.1899999999999999,0.4499999999999999,0.000999500249875,,,,0.0059970014992503,clip_vitl14_336,resnet50,,polyvore_d_clean,AAT
,DINOv3 minus ResNet50,,0.1,-0.0099999999999999,0.21,0.0889555222388805,,,,0.2668665667166416,dinov3_vitl16,resnet50,,iqon3000_clean,LAT
,GR-Lite minus DINOv3,,0.1299999999999999,0.0,0.26,0.0559720139930035,,,,0.2598700649675162,gr_lite,dinov3_vitl16,,iqon3000_clean,LAT
,FashionCLIP minus CLIP,,0.06,-0.0599999999999999,0.18,0.3908045977011494,,,,0.3908045977011494,fashionclip2,clip_vitl14_336,,iqon3000_clean,LAT
,Marqo-FashionSigLIP minus SigLIP2,,0.0999999999999999,0.0,0.2,0.0519740129935032,,,,0.2598700649675162,marqo_fashionsiglip,siglip2_b16_384,,iqon3000_clean,LAT
,validation-selected best specialized minus best generic,,0.0799999999999999,-0.03,0.2,0.1909045477261369,,,,0.3818090954522739,marqo_fashionsiglip,clip_vitl14_336,,iqon3000_clean,LAT
,validation-selected best overall minus ResNet50,,0.3399999999999999,0.2299999999999999,0.45,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,resnet50,,iqon3000_clean,LAT
,DINOv3 minus ResNet50,,0.09,-0.03,0.2199999999999999,0.1749125437281359,,,,0.6996501749125438,dinov3_vitl16,resnet50,,iqon3000_clean,AAT
,GR-Lite minus DINOv3,,0.1799999999999999,0.06,0.3,0.0049975012493753,,,,0.0249875062468765,gr_lite,dinov3_vitl16,,iqon3000_clean,AAT
,FashionCLIP minus CLIP,,0.0099999999999998,-0.12,0.13,0.9335332333833084,,,,1.0,fashionclip2,clip_vitl14_336,,iqon3000_clean,AAT
,Marqo-FashionSigLIP minus SigLIP2,,0.0,-0.0999999999999999,0.09,1.0,,,,1.0,marqo_fashionsiglip,siglip2_b16_384,,iqon3000_clean,AAT
,validation-selected best specialized minus best generic,,0.0699999999999999,-0.03,0.17,0.2168915542228885,,,,0.6996501749125438,marqo_fashionsiglip,clip_vitl14_336,,iqon3000_clean,AAT
,validation-selected best overall minus ResNet50,,0.32,0.1999999999999999,0.4302499999999987,0.000999500249875,,,,0.0059970014992503,marqo_fashionsiglip,resnet50,,iqon3000_clean,AAT
