dataset,representation,cp_auc,cp_auc_ci_low,cp_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,fitb_acc,fitb_ci_low,fitb_ci_high,selected_c,display_name,cp_rank,fitb_rank
polyvore_d_clean,resnet50,0.6937498134378515,0.6880776568449304,0.6996705175783262,0.6917562150539093,0.6851932113092166,0.6985174080161823,0.4062871483291507,0.3980955689733698,0.4145350236755333,0.01,ResNet50,7,7
polyvore_d_clean,dinov3_vitl16,0.7822002866327329,0.7772420590573753,0.7872902448134689,0.7808236637109816,0.7750183112967928,0.7868058552269999,0.5048210276053362,0.4971922071672593,0.5134230850970746,100.0,DINOv3 ViT-L/16,6,6
polyvore_d_clean,clip_vitl14_336,0.8883028123619103,0.8842624563070548,0.8918663741689928,0.8864205642658753,0.8816590918206365,0.8908829541181158,0.6499801875577863,0.6423666826308941,0.6575533566231653,100.0,CLIP ViT-L/14@336,3,2
polyvore_d_clean,siglip2_b16_384,0.8891665373198181,0.885651172208303,0.8927359780848451,0.8885566123621742,0.8842297927345951,0.8926490593863127,0.6528199709417514,0.645399110983948,0.6602190470119973,0.1,SigLIP2-B/16@384,2,1
polyvore_d_clean,fashionclip2,0.8689566926513539,0.8648370999745184,0.8730435595142428,0.8676319760886654,0.8629225033099605,0.8725412837312356,0.6174877823273015,0.6098743762141292,0.6249786880315723,0.01,FashionCLIP 2.0,4,4
polyvore_d_clean,marqo_fashionsiglip,0.8896760907759992,0.8859306168620683,0.8931101275347995,0.8877203261815729,0.8832373040781799,0.8920538222699301,0.6479329018623695,0.6408087575166309,0.6556791946409236,100.0,Marqo-FashionSigLIP,1,3
polyvore_d_clean,gr_lite,0.8276769005625799,0.8231703288916403,0.8322713096723212,0.833067367988371,0.8279676881678268,0.8384055656068466,0.5573239994716682,0.5498373502778705,0.5656744269509777,0.01,GR-Lite,5,5
iqon3000_clean,resnet50,0.5852339636446411,0.5797818502330265,0.5908791709351922,0.5732239866931856,0.5675671501710788,0.5794226416421532,0.3166129032258064,0.3097355916077271,0.323283467451666,0.01,ResNet50,7,7
iqon3000_clean,dinov3_vitl16,0.6418802882739334,0.6362349751501919,0.6474755569304674,0.62208530691433,0.6155118419973739,0.6290202614054726,0.366008064516129,0.3586592000433136,0.3738886473126446,0.01,DINOv3 ViT-L/16,6,6
iqon3000_clean,clip_vitl14_336,0.7042432549102497,0.6976840209598056,0.7107675056148536,0.6856511801539527,0.6782151777480594,0.6930779544678158,0.4364112903225806,0.4280696888514271,0.4444053586097999,0.01,CLIP ViT-L/14@336,2,2
iqon3000_clean,siglip2_b16_384,0.7031073361082206,0.6970445039417761,0.7092581988530667,0.6787143637201238,0.6713197810481895,0.6860667836579945,0.4330241935483871,0.4253886470258743,0.4412662826688476,0.01,SigLIP2-B/16@384,3,3
iqon3000_clean,fashionclip2,0.6980518868691467,0.6920161574372072,0.7042181042144062,0.6779604179666265,0.6708097776975134,0.6858606303040372,0.4275,0.4193306493985755,0.4358111008551296,0.01,FashionCLIP 2.0,4,4
iqon3000_clean,marqo_fashionsiglip,0.7221429476131634,0.7157896568077823,0.7281557918557241,0.6988737748528188,0.6913357180219329,0.7066221920005848,0.4450806451612903,0.4370894012309058,0.4539196204435292,0.01,Marqo-FashionSigLIP,1,1
iqon3000_clean,gr_lite,0.6510790111212278,0.6439954184733089,0.6580323872451288,0.646610396004763,0.6387433979122354,0.6548005172898453,0.3831854838709677,0.375658609180509,0.3911008350716647,1.0,GR-Lite,5,5
