dataset,task,subgroup_type,subgroup,n,min,max,mean
iqon3000_clean,CP,outfit_length,3,10772,0.582508491503808,0.7145741445171009,0.6588372497571837
iqon3000_clean,CP,outfit_length,4,8752,0.6027654634803766,0.7570903093656942,0.697806382083379
iqon3000_clean,CP,outfit_length,5,7542,0.608097280527376,0.7773164348419292,0.7242059913211251
iqon3000_clean,CP,outfit_length,6+,11688,0.6317366694916564,0.8151028673411973,0.7580380655158029
iqon3000_clean,FITB,blank_category,<missing>,108,0.3611111111111111,0.6296296296296297,0.5304232804232804
iqon3000_clean,FITB,blank_category,Tシャツ,813,0.3161131611316113,0.45387453874538747,0.39290107186786155
iqon3000_clean,FITB,blank_category,カーディガン,364,0.2664835164835165,0.43131868131868134,0.3708791208791209
iqon3000_clean,FITB,blank_category,キャップ,190,0.34210526315789475,0.5105263157894737,0.43684210526315786
iqon3000_clean,FITB,blank_category,クラッチバッグ,777,0.30244530244530243,0.45045045045045046,0.3987865416436845
iqon3000_clean,FITB,blank_category,コスメ,199,0.32160804020100503,0.4271356783919598,0.3783201722900215
iqon3000_clean,FITB,blank_category,コート,795,0.32075471698113206,0.4666666666666667,0.41311769991015274
iqon3000_clean,FITB,blank_category,サングラス,252,0.3333333333333333,0.373015873015873,0.3469387755102041
iqon3000_clean,FITB,blank_category,サンダル,889,0.3217097862767154,0.4780652418447694,0.4219829664149124
iqon3000_clean,FITB,blank_category,ショルダーバッグ,1214,0.31960461285008235,0.4588138385502471,0.4068016003765592
iqon3000_clean,FITB,blank_category,ショートパンツ,398,0.3316582914572864,0.4824120603015075,0.395908111988514
iqon3000_clean,FITB,blank_category,ジャケット,493,0.3184584178498986,0.4746450304259635,0.4178498985801217
iqon3000_clean,FITB,blank_category,スカート,1329,0.30624529721595184,0.4213694507148232,0.3772976459206708
iqon3000_clean,FITB,blank_category,ストール,330,0.2818181818181818,0.4090909090909091,0.3619047619047619
iqon3000_clean,FITB,blank_category,スニーカー,743,0.29878869448183043,0.46567967698519513,0.3960776773697366
iqon3000_clean,FITB,blank_category,タンクトップ,489,0.3128834355828221,0.4049079754601227,0.3514460999123576
iqon3000_clean,FITB,blank_category,トップス,431,0.3109048723897912,0.46635730858468677,0.39476300961219757
iqon3000_clean,FITB,blank_category,トートバッグ,661,0.3101361573373676,0.4735249621785174,0.42122325480873135
iqon3000_clean,FITB,blank_category,ニット,980,0.3142857142857143,0.4030612244897959,0.36720116618075804
iqon3000_clean,FITB,blank_category,ニット帽,140,0.3,0.42142857142857143,0.36224489795918363
iqon3000_clean,FITB,blank_category,ネックレス,1026,0.30214424951267055,0.45419103313840153,0.4015594541910331
iqon3000_clean,FITB,blank_category,ハット,434,0.31797235023041476,0.5,0.4259381171823568
iqon3000_clean,FITB,blank_category,ハンドバッグ,350,0.3342857142857143,0.5428571428571428,0.4273469387755102
iqon3000_clean,FITB,blank_category,バッグ,176,0.29545454545454547,0.5170454545454546,0.44237012987012986
iqon3000_clean,FITB,blank_category,パンプス,1070,0.2897196261682243,0.48317757009345796,0.4264352469959946
iqon3000_clean,FITB,blank_category,ピアス,1836,0.30718954248366015,0.4940087145969499,0.4289604730781202
iqon3000_clean,FITB,blank_category,ブラウス,991,0.29162462159434915,0.42684157416750756,0.37754072365575897
