representation,pca256_cp_auc,pca256_fitb_acc,native_cp_auc,native_fitb_acc,native_selected_c,native_minus_pca_cp,native_minus_pca_fitb
resnet50,0.5852339636446411,0.3166129032258064,0.6673718725611342,0.3643951612903225,100.0,0.08213790891649309,0.04778225806451614
dinov3_vitl16,0.6418802882739334,0.366008064516129,0.7143933947385537,0.4116532258064516,1.0,0.07251310646462028,0.04564516129032259
clip_vitl14_336,0.7042432549102497,0.4364112903225806,0.7473422801768991,0.4440322580645161,0.1,0.04309902526664933,0.007620967741935547
siglip2_b16_384,0.7031073361082206,0.4330241935483871,0.7564394567832987,0.4648790322580645,0.01,0.05333212067507809,0.03185483870967737
fashionclip2,0.6980518868691467,0.4275,0.7527702287656087,0.4606451612903225,10.0,0.054718341896462075,0.03314516129032252
marqo_fashionsiglip,0.7221429476131634,0.4450806451612903,0.7592961368366284,0.4663306451612903,1000.0,0.037153189223465,0.02124999999999999
gr_lite,0.6510790111212278,0.3831854838709677,0.6792026713709678,0.3953225806451613,0.01,0.02812366024974,0.012137096774193612
