dataset,metric,n_models,spearman_rho,spearman_p,kendall_tau,kendall_p
historical_polyvore_d,cp_auc,5,0.19999999999999998,0.7470600781046621,0.19999999999999998,0.8166666666666667
historical_polyvore_d,fitb_acc,5,0.09999999999999999,0.8728885715695384,0.0,1.0
polyvore_d_clean,cp_auc,5,0.19999999999999998,0.7470600781046621,0.19999999999999998,0.8166666666666667
polyvore_d_clean,fitb_acc,5,-0.19999999999999998,0.7470600781046621,-0.19999999999999998,0.8166666666666667
