representation,pca256_cp_auc,pca256_fitb_acc,xgboost_cp_auc,xgboost_fitb_acc,train_seconds
resnet50,0.5852339636446411,0.3166129032258064,0.5966532835262748,0.3068145161290322,2.6987638999708
dinov3_vitl16,0.6418802882739334,0.366008064516129,0.6563803451808012,0.3389919354838709,2.8752290999982506
clip_vitl14_336,0.7042432549102497,0.4364112903225806,0.716446179923257,0.398266129032258,2.805433300032746
siglip2_b16_384,0.7031073361082206,0.4330241935483871,0.7014410485496879,0.3920967741935484,2.841786600009073
fashionclip2,0.6980518868691467,0.4275,0.7036431728017689,0.3897983870967741,2.7905436999863014
marqo_fashionsiglip,0.7221429476131634,0.4450806451612903,0.7265265836368366,0.4054838709677419,2.809670199989341
gr_lite,0.6510790111212278,0.3831854838709677,0.6618389950247139,0.3640725806451613,2.780777100007981
