dataset,representation,learner,train_fraction,train_seconds,cp_auc,pr_auc,fitb_acc,selected_c,n_train,epochs,hidden_units,trees,max_depth,device
historical_polyvore_d,resnet50,logistic,0.1,0.0671869000070728,0.6355102916769892,0.6340726107110797,0.3578078573786728,0.01,3398.0,,,,,
historical_polyvore_d,resnet50,logistic,0.25,0.0860384000116027,0.6592097672319335,0.6571858713933534,0.3764938923737207,0.01,8496.0,,,,,
historical_polyvore_d,resnet50,logistic,0.5,0.1457412999588996,0.6790967385701834,0.6773234969585604,0.3914163090128755,0.01,16994.0,,,,,
historical_polyvore_d,resnet50,logistic,1.0,0.413371000031475,0.6893988767761752,0.6862707478926195,0.4009904258831297,1.0,33990.0,,,,,
historical_polyvore_d,dinov3_vitl16,logistic,0.1,0.0761492000310681,0.7155909448458018,0.7120581218656836,0.4344668207329151,0.01,3398.0,,,,,
historical_polyvore_d,dinov3_vitl16,logistic,0.25,0.0992621000041253,0.741397602421666,0.737181539733496,0.4556619346318917,0.01,8496.0,,,,,
historical_polyvore_d,dinov3_vitl16,logistic,0.5,0.2042690000380389,0.7547669392853784,0.7483277809967225,0.4657642786398151,0.01,16994.0,,,,,
historical_polyvore_d,dinov3_vitl16,logistic,1.0,0.6532501999754459,0.7604897458168485,0.7538503667400229,0.4722350610762628,0.01,33990.0,,,,,
historical_polyvore_d,clip_vitl14_336,logistic,0.1,0.0740370000130496,0.8432208296579744,0.8370538986710043,0.5708814790359855,0.01,3398.0,,,,,
historical_polyvore_d,clip_vitl14_336,logistic,0.25,0.0918825999833643,0.8577455609312465,0.8513250554321848,0.5891713436777815,0.01,8496.0,,,,,
historical_polyvore_d,clip_vitl14_336,logistic,0.5,0.1848291999776847,0.8665195396846659,0.8595240065356932,0.6000660283922087,0.01,16994.0,,,,,
historical_polyvore_d,clip_vitl14_336,logistic,1.0,0.520760599989444,0.8711718731692462,0.8635971615856728,0.6071970947507428,0.01,33990.0,,,,,
historical_polyvore_d,siglip2_b16_384,logistic,0.1,0.0713185999775305,0.8391497073355277,0.8331923521511981,0.5821063057114559,0.01,3398.0,,,,,
historical_polyvore_d,siglip2_b16_384,logistic,0.25,0.0836335000349208,0.8608401497094065,0.8556216238658256,0.6071970947507428,0.01,8496.0,,,,,
historical_polyvore_d,siglip2_b16_384,logistic,0.5,0.1600913000293076,0.8681721307213934,0.862361232731236,0.6136678771871905,0.01,16994.0,,,,,
historical_polyvore_d,siglip2_b16_384,logistic,1.0,0.4833473000326194,0.8728533083025634,0.8668338036326215,0.6223836249587322,0.01,33990.0,,,,,
historical_polyvore_d,fashionclip2,logistic,0.1,0.0668704000418074,0.8231645387642139,0.8173821607049703,0.553251898316276,0.01,3398.0,,,,,
historical_polyvore_d,fashionclip2,logistic,0.25,0.0894400000106543,0.8407337435057457,0.8346619622922457,0.5770221195113899,0.01,8496.0,,,,,
historical_polyvore_d,fashionclip2,logistic,0.5,0.1744979999493807,0.8514813542817798,0.8443044015859485,0.5902277979531199,0.01,16994.0,,,,,
historical_polyvore_d,fashionclip2,logistic,1.0,0.5169089999981225,0.8566709722816995,0.8490946811746458,0.5946517002310994,0.1,33990.0,,,,,
historical_polyvore_d,marqo_fashionsiglip,logistic,0.1,0.0703582999994978,0.852600183480019,0.8498956416990098,0.5880488610102343,0.01,3398.0,,,,,
historical_polyvore_d,marqo_fashionsiglip,logistic,0.25,0.0902497999486513,0.8665185304028702,0.8637822477159994,0.6093760316936283,0.01,8496.0,,,,,
historical_polyvore_d,marqo_fashionsiglip,logistic,0.5,0.1631446999963373,0.8727448508371971,0.8685046853547329,0.6148563882469462,0.01,16994.0,,,,,
historical_polyvore_d,marqo_fashionsiglip,logistic,1.0,0.4876944000134244,0.8771669983163741,0.8725389539108722,0.6199405744470122,0.01,33990.0,,,,,
historical_polyvore_d,gr_lite,logistic,0.1,0.0629808999947272,0.782677694360044,0.7908502877482191,0.5088147903598548,0.01,3398.0,,,,,
historical_polyvore_d,gr_lite,logistic,0.25,0.0739938000333495,0.8041802708079628,0.8123516561349342,0.522152525586002,0.01,8496.0,,,,,
historical_polyvore_d,gr_lite,logistic,0.5,0.1303812000551261,0.815799116300762,0.8232404130124491,0.5372730274017827,1000.0,16994.0,,,,,
historical_polyvore_d,gr_lite,logistic,1.0,0.3654075000085868,0.8202937467799168,0.8274244168893161,0.544404093760317,1000.0,33990.0,,,,,
polyvore_d_clean,resnet50,logistic,0.1,0.0475757999811321,0.6416785601217556,0.6400379383860478,0.3663320565315018,0.01,3398.0,,,,,
polyvore_d_clean,resnet50,logistic,0.25,0.0861913000117056,0.6701660724562286,0.6671299523704621,0.3899749042398626,0.01,8494.0,,,,,
polyvore_d_clean,resnet50,logistic,0.5,0.1452845999738201,0.6818173485779607,0.6806409055003699,0.401135913353586,0.01,16990.0,,,,,
polyvore_d_clean,resnet50,logistic,1.0,0.4564105999888852,0.6937498134378515,0.6917562150539093,0.4062871483291507,0.01,33982.0,,,,,
polyvore_d_clean,dinov3_vitl16,logistic,0.1,0.0648453999892808,0.7431602478267593,0.7442836852720676,0.4671773873992867,0.01,3398.0,,,,,
polyvore_d_clean,dinov3_vitl16,logistic,0.25,0.0996666999999433,0.7629156790030907,0.7625909379064876,0.484546295073306,0.01,8494.0,,,,,
polyvore_d_clean,dinov3_vitl16,logistic,0.5,0.2056812000228092,0.7742991168656003,0.7737255554167638,0.4988112534671773,100.0,16990.0,,,,,
polyvore_d_clean,dinov3_vitl16,logistic,1.0,0.5876245999825187,0.7822002866327329,0.7808236637109816,0.5048210276053362,100.0,33982.0,,,,,
polyvore_d_clean,clip_vitl14_336,logistic,0.1,0.0755973000195808,0.8627356943970086,0.8628332958067433,0.6119402985074627,0.01,3398.0,,,,,
polyvore_d_clean,clip_vitl14_336,logistic,0.25,0.0954606999875977,0.8779814354110458,0.8770348183641975,0.6342623167349095,0.01,8494.0,,,,,
polyvore_d_clean,clip_vitl14_336,logistic,0.5,0.1694022999727167,0.8836225841150394,0.8817397419413502,0.6451591599524501,100.0,16990.0,,,,,
polyvore_d_clean,clip_vitl14_336,logistic,1.0,0.508352700038813,0.8883028123619103,0.8864205642658753,0.6499801875577863,100.0,33982.0,,,,,
polyvore_d_clean,siglip2_b16_384,logistic,0.1,0.0721985999844037,0.8614464245585588,0.8639797823952478,0.6156386210540219,0.01,3398.0,,,,,
polyvore_d_clean,siglip2_b16_384,logistic,0.25,0.0904096000012941,0.8772155710774875,0.8788410378948754,0.6386210540219258,0.01,8494.0,,,,,
