dataset,representation,cp_auc,cp_auc_ci_low,cp_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,fitb_acc,fitb_ci_low,fitb_ci_high,selected_c,display_name,cp_rank,fitb_rank
historical_polyvore_d,resnet50,0.6894059504682426,0.6836800686924372,0.6951294609211853,0.6862703571676829,0.6802156903741869,0.6932754668729095,0.4012545394519643,0.3936715421421133,0.4100599687447647,0.1,ResNet50,7,7
historical_polyvore_d,dinov3_vitl16,0.7604897458168485,0.7555830490486748,0.7657692319154614,0.7538503667400229,0.7475957195797628,0.7612665836778615,0.4722350610762628,0.4613612420356017,0.4842747433142949,0.01,DINOv3 ViT-L/16,6,6
historical_polyvore_d,clip_vitl14_336,0.8711718731692462,0.8674906216346294,0.8751717862857067,0.8635971615856728,0.8588635510095491,0.869180238987314,0.6071970947507428,0.5908289380789341,0.6228960974104572,0.01,CLIP ViT-L/14@336,3,3
historical_polyvore_d,siglip2_b16_384,0.8728533083025634,0.867926388051895,0.8783044018181608,0.8668338036326215,0.8609826032403053,0.8735519449950838,0.6223836249587322,0.6077867226327154,0.6367362428842505,0.01,SigLIP2-B/16@384,2,1
historical_polyvore_d,fashionclip2,0.8566709722816995,0.852671730035755,0.8609151975033013,0.8490946811746458,0.8443038201572589,0.8547178980492366,0.5946517002310994,0.5819139033500084,0.6076373238194485,0.1,FashionCLIP 2.0,4,4
historical_polyvore_d,marqo_fashionsiglip,0.8771669983163741,0.8730884321372017,0.8822464868333336,0.8725389539108722,0.8673380151625466,0.8788743873018956,0.6199405744470122,0.6080487294299602,0.6323480234392108,0.01,Marqo-FashionSigLIP,1,2
historical_polyvore_d,gr_lite,0.8202937467799168,0.8158717623860807,0.824948822577713,0.8274244168893161,0.8225073568095934,0.8327116459120455,0.544404093760317,0.5324165970580824,0.5574491331783958,1000.0,GR-Lite,5,5
