representation,cp_auc_scaled,fitb_acc_scaled,best_c_scaled,cp_auc_unscaled,fitb_acc_unscaled,best_c_unscaled,cp_auc_change,fitb_change
resnet50,0.6894059504682426,0.4012545394519643,0.1,0.6819672362714515,0.3932651039947177,1000.0,0.007438714196791096,0.007989435457246619
dinov3_vitl16,0.7604897458168485,0.4722350610762628,0.01,0.7480798653622444,0.4561241333773522,1000.0,0.012409880454604116,0.016110927698910593
clip_vitl14_336,0.8711718731692462,0.6071970947507428,0.01,0.868257871716796,0.6031033344338065,1000.0,0.0029140014524501323,0.004093760316936312
siglip2_b16_384,0.8728533083025634,0.6223836249587322,0.01,0.8615125210344244,0.605084186200066,1000.0,0.011340787268138919,0.01729943875866624
fashionclip2,0.8566709722816995,0.5946517002310994,0.1,0.8504261774127748,0.5819082205348299,1000.0,0.006244794868924708,0.012743479696269433
marqo_fashionsiglip,0.8771669983163741,0.6199405744470122,0.01,0.8691330040487896,0.6120171673819742,1000.0,0.008033994267584554,0.007923407065038024
gr_lite,0.8202937467799168,0.544404093760317,1000.0,0.8166076360342376,0.5391878507758336,1000.0,0.0036861107456792608,0.00521624298448331
