analysis,cost,representation,score,cost_value,pareto_dominated,dominated_by
iqon_cp,gflops,dinov3_vitl16,0.6418802882739334,125.679796224,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_cp,gflops,clip_vitl14_336,0.7042432549102497,381.919789056,True,marqo_fashionsiglip
iqon_cp,gflops,siglip2_b16_384,0.7031073361082206,112.127311872,True,marqo_fashionsiglip
iqon_cp,gflops,fashionclip2,0.6980518868691467,8.81762304,False,
iqon_cp,gflops,marqo_fashionsiglip,0.7221429476131634,35.416584192,False,
iqon_cp,gflops,gr_lite,0.6510790111212278,289.622851584,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_cp,peak_vram_mb,resnet50,0.5852339636446411,763.66162109375,True,fashionclip2;marqo_fashionsiglip
iqon_cp,peak_vram_mb,dinov3_vitl16,0.6418802882739334,885.22412109375,True,fashionclip2;marqo_fashionsiglip
iqon_cp,peak_vram_mb,clip_vitl14_336,0.7042432549102497,2029.0966796875,True,marqo_fashionsiglip
iqon_cp,peak_vram_mb,siglip2_b16_384,0.7031073361082206,1442.9287109375,True,marqo_fashionsiglip
iqon_cp,peak_vram_mb,fashionclip2,0.6980518868691467,400.79248046875,False,
iqon_cp,peak_vram_mb,marqo_fashionsiglip,0.7221429476131634,651.1904296875,False,
iqon_cp,peak_vram_mb,gr_lite,0.6510790111212278,1686.69140625,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_fitb,latency_ms,resnet50,0.3166129032258064,1.9758718752200368,True,marqo_fashionsiglip
iqon_fitb,latency_ms,dinov3_vitl16,0.366008064516129,3.1449734375200933,True,fashionclip2;marqo_fashionsiglip
iqon_fitb,latency_ms,clip_vitl14_336,0.4364112903225806,9.313161562567984,True,marqo_fashionsiglip
iqon_fitb,latency_ms,siglip2_b16_384,0.4330241935483871,5.881999062512477,True,marqo_fashionsiglip
iqon_fitb,latency_ms,fashionclip2,0.4275,2.2822931246992084,True,marqo_fashionsiglip
