dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
polyvore_d_clean,dinov3_vitl16,FITB,blank_category,tops,1852,,accuracy,0.5043196544276458
polyvore_d_clean,clip_vitl14_336,CP,outfit_length,2,1654,827.0,roc_auc,0.7666307467588009
polyvore_d_clean,clip_vitl14_336,CP,outfit_length,3,5072,2536.0,roc_auc,0.8601095331329798
polyvore_d_clean,clip_vitl14_336,CP,outfit_length,4,7490,3745.0,roc_auc,0.891117627241306
polyvore_d_clean,clip_vitl14_336,CP,outfit_length,5,7526,3763.0,roc_auc,0.9125223717315804
polyvore_d_clean,clip_vitl14_336,CP,outfit_length,6+,8542,4271.0,roc_auc,0.939117830658225
polyvore_d_clean,clip_vitl14_336,CP,contains_category,accessories,3510,1755.0,roc_auc,0.9152547463088774
polyvore_d_clean,clip_vitl14_336,CP,contains_category,all-body,10950,5475.0,roc_auc,0.899198598861575
polyvore_d_clean,clip_vitl14_336,CP,contains_category,bags,23692,11846.0,roc_auc,0.9017086118611094
polyvore_d_clean,clip_vitl14_336,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.8993571387822492
polyvore_d_clean,clip_vitl14_336,CP,contains_category,hats,2982,1491.0,roc_auc,0.9308309053966095
polyvore_d_clean,clip_vitl14_336,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.9068303420901421
polyvore_d_clean,clip_vitl14_336,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.9098451766994262
polyvore_d_clean,clip_vitl14_336,CP,contains_category,scarves,2518,1259.0,roc_auc,0.910457572830663
polyvore_d_clean,clip_vitl14_336,CP,contains_category,shoes,27358,13679.0,roc_auc,0.8975119375892394
polyvore_d_clean,clip_vitl14_336,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.9050387596899225
polyvore_d_clean,clip_vitl14_336,CP,contains_category,tops,16438,8219.0,roc_auc,0.8976264656476813
polyvore_d_clean,clip_vitl14_336,FITB,outfit_length,2,827,,accuracy,0.5804111245465539
polyvore_d_clean,clip_vitl14_336,FITB,outfit_length,3,2536,,accuracy,0.6628548895899053
polyvore_d_clean,clip_vitl14_336,FITB,outfit_length,4,3745,,accuracy,0.6552736982643524
polyvore_d_clean,clip_vitl14_336,FITB,outfit_length,5,3763,,accuracy,0.6393834706351316
polyvore_d_clean,clip_vitl14_336,FITB,outfit_length,6+,4271,,accuracy,0.6605010536174198
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,accessories,379,,accuracy,0.604221635883905
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,all-body,1397,,accuracy,0.6814602720114531
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,bags,2684,,accuracy,0.6564828614008942
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,bottoms,1610,,accuracy,0.6018633540372671
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,hats,294,,accuracy,0.6836734693877551
