training_source,task,majority_accuracy_mean,majority_accuracy_std,mLAT_mean,mLAT_std,archive_gt_accuracy_mean,archive_gt_accuracy_std,overall_accuracy_mean,overall_accuracy_std,color_accuracy_mean,color_accuracy_std,style_accuracy_mean,style_accuracy_std,occasion_accuracy_mean,occasion_accuracy_std,season_accuracy_mean,season_accuracy_std,material_accuracy_mean,material_accuracy_std,balance_accuracy_mean,balance_accuracy_std
iqon3000_clean,AAT,,,,,,,0.382,0.054037024344425186,0.38,0.04472135954999583,0.45,0.0872765002735559,0.36,0.10110500592068736,0.26666666666666666,0.06972166887783963,0.4333333333333333,0.06972166887783963,0.26666666666666666,0.09938079899999067
iqon3000_clean,LAT,0.418,0.02588435821108958,0.36096799999999996,0.019327294689117785,0.44399999999999995,0.019493588689617924,,,,,,,,,,,,,,
polyvore_d_clean,AAT,,,,,,,0.33999999999999997,0.029154759474226497,0.4,0.07071067811865477,0.4125,0.06774838558962125,0.36,0.08944271909999163,0.26666666666666666,0.10865337342004418,0.31666666666666665,0.18066236157232338,0.04444444444444444,0.06085806194501846
polyvore_d_clean,LAT,0.49000000000000005,0.051478150704935034,0.4180879999999999,0.03859113784277424,0.532,0.04868264577855232,,,,,,,,,,,,,,
